frequency_Hz,complex_real,complex_imag,coefficient_abs
-5795.757505505969,0.00011061408255837642,-4.336808689942018e-19,0.00011061408255837642
-5554.26760944322,-5.910408402508683e-07,-4.206758414407338e-08,5.925360381277845e-07
-5312.777713380471,-5.980007725360575e-07,-7.668783047254049e-08,6.028979576149737e-07
-5071.287817317722,-6.052754840203243e-07,-1.0179255990408128e-07,6.137753145963626e-07
-4829.797921254974,-4.9406917529050954e-05,-0.00012566402093638557,0.00013502773662334267
-4588.308025192226,-6.00062779311366e-07,-1.5983635722406399e-07,6.209855072427534e-07
-4346.818129129477,-5.987078172242125e-07,-1.9195484151012023e-07,6.287270565074772e-07
-4105.328233066728,-5.92625825907264e-07,-2.331131916878968e-07,6.368258236528925e-07
-3863.838337003979,-0.00030294078774610134,-0.0004146411041464083,0.0005135176395490043
-3622.3484409412304,-5.841407771410516e-07,-2.964078741890141e-07,6.550405143196885e-07
-3380.8585448784816,-5.792447754438465e-07,-3.495525815390908e-07,6.765438028240559e-07
-3139.368648815733,-5.764514517775941e-07,-4.0496530882790793e-07,7.044807858349146e-07
-2897.8787527529844,0.00014241103718938105,1.800473555345816e-05,0.00014354467602703083
-2656.3888566902356,-5.520817772255856e-07,-5.427717603155068e-07,7.742063501034819e-07
-2414.898960627487,-5.432343469713139e-07,-6.175885979394766e-07,8.225078917762421e-07
-2173.4090645647384,-5.15115266814086e-07,-6.92822042802956e-07,8.633343043680171e-07
-1931.9191685019896,0.005750924049455698,-0.001481361607662596,0.005938649647458977
-1690.4292724392408,-6.249007374629102e-07,-1.0716545136108184e-06,1.2405419494011997e-06
-1448.9393763764922,-5.938324501083701e-07,-1.252602633993614e-06,1.386236032387504e-06
-1207.4494803137436,-5.881735935565506e-07,-1.544762400105766e-06,1.652948592345737e-06
-965.9595842509948,-0.0011839734810478026,-0.0003454355325658425,0.001233336495439707
-724.4696881882461,-5.887355571706373e-07,-2.4721577302467996e-06,2.5412936468452497e-06
-482.9797921254974,-5.706199374657514e-07,-3.778312423937077e-06,3.82115844815557e-06
-241.4898960627487,-5.638742584885586e-07,-7.6181796508571735e-06,7.639019267688776e-06
0.0,-0.9708737207762891,0.0,0.9708737207762891
241.4898960627487,-5.63874258488558e-07,7.618179650857174e-06,7.639019267688776e-06
482.9797921254974,-5.706199374657511e-07,3.7783124239370765e-06,3.8211584481555694e-06
724.4696881882461,-5.887355571706383e-07,2.4721577302467996e-06,2.54129364684525e-06
965.9595842509948,-0.0011839734810478028,0.0003454355325658425,0.0012333364954397073
1207.4494803137436,-5.881735935565512e-07,1.5447624001057656e-06,1.6529485923457368e-06
1448.9393763764922,-5.938324501083701e-07,1.252602633993614e-06,1.386236032387504e-06
1690.4292724392408,-6.249007374629102e-07,1.071654513610819e-06,1.2405419494012004e-06
1931.9191685019896,0.005750924049455698,0.0014813616076625965,0.005938649647458979
2173.4090645647384,-5.151152668140862e-07,6.928220428029556e-07,8.633343043680167e-07
2414.898960627487,-5.432343469713139e-07,6.175885979394768e-07,8.225078917762422e-07
2656.3888566902356,-5.520817772255852e-07,5.427717603155064e-07,7.742063501034813e-07
2897.8787527529844,0.0001424110371893809,-1.8004735553458124e-05,0.00014354467602703067
3139.368648815733,-5.764514517775938e-07,4.049653088279088e-07,7.044807858349147e-07
3380.8585448784816,-5.792447754438463e-07,3.4955258153909083e-07,6.765438028240557e-07
3622.3484409412304,-5.841407771410514e-07,2.964078741890135e-07,6.550405143196881e-07
3863.838337003979,-0.00030294078774610134,0.0004146411041464083,0.0005135176395490043
4105.328233066728,-5.92625825907264e-07,2.3311319168789683e-07,6.368258236528925e-07
4346.818129129477,-5.987078172242127e-07,1.9195484151012044e-07,6.287270565074774e-07
4588.308025192226,-6.000627793113661e-07,1.5983635722406396e-07,6.209855072427535e-07
4829.797921254974,-4.9406917529050974e-05,0.00012566402093638554,0.00013502773662334267
5071.287817317722,-6.052754840203243e-07,1.0179255990408107e-07,6.137753145963625e-07
5312.777713380471,-5.980007725360575e-07,7.668783047254028e-08,6.028979576149737e-07
5554.26760944322,-5.910408402508681e-07,4.206758414407324e-08,5.925360381277842e-07
