frequency_Hz,complex_real,complex_imag,coefficient_abs,time_harmonic_order_n,single_sided_amplitude_Nm
1931.9191685019896,-0.005750924049455698,-0.0014813616076625965,0.005938649647458979,8.0,0.011877299294917957
965.9595842509948,0.0011839734810478028,-0.0003454355325658425,0.0012333364954397073,4.0,0.0024666729908794146
3863.838337003979,0.00030294078774610134,-0.0004146411041464083,0.0005135176395490043,16.0,0.0010270352790980085
2897.8787527529844,-0.0001424110371893809,1.8004735553458124e-05,0.00014354467602703067,12.0,0.00028708935205406133
4829.797921254974,4.9406917529050974e-05,-0.00012566402093638554,0.00013502773662334267,20.0,0.00027005547324668533
241.4898960627487,5.63874258488558e-07,-7.618179650857174e-06,7.639019267688776e-06,1.0,1.527803853537755e-05
482.9797921254974,5.706199374657511e-07,-3.7783124239370765e-06,3.8211584481555694e-06,2.0,7.642316896311139e-06
724.4696881882461,5.887355571706383e-07,-2.4721577302467996e-06,2.54129364684525e-06,3.0,5.0825872936905e-06
1207.4494803137436,5.881735935565512e-07,-1.5447624001057656e-06,1.6529485923457368e-06,5.0,3.3058971846914736e-06
1448.9393763764922,5.938324501083701e-07,-1.252602633993614e-06,1.386236032387504e-06,6.0,2.772472064775008e-06
1690.4292724392408,6.249007374629102e-07,-1.071654513610819e-06,1.2405419494012004e-06,7.0,2.4810838988024008e-06
2173.4090645647384,5.151152668140862e-07,-6.928220428029556e-07,8.633343043680167e-07,9.0,1.7266686087360335e-06
