step_frequency_Hz_or_order,spatial_order_m,complex_real,complex_imag,coefficient_abs
-241.4898960627487,41.99999999999999,21297.817993613073,-8909.954773188363,23086.45371964544
241.4898960627487,-41.99999999999999,21297.817993613073,8909.954773188358,23086.45371964544
0.0,35.99999999999999,3088.383966402717,-22172.20501860538,22386.263442365787
0.0,-35.99999999999999,3088.3839664027187,22172.20501860538,22386.263442365787
-482.9797921254974,41.99999999999999,-10339.705988133874,5142.92703729858,11548.126187049926
482.9797921254974,-41.99999999999999,-10339.705988133874,-5142.927037298579,11548.126187049926
0.0,-71.99999999999999,-747.9971448264484,-11201.884421883637,11226.830110494584
0.0,71.99999999999999,-747.9971448264482,11201.884421883637,11226.830110494584
724.4696881882461,-83.99999999999999,-8496.354379003635,7292.758197264049,11196.979943599801
-724.4696881882461,83.99999999999999,-8496.354379003633,-7292.758197264049,11196.979943599801
0.0,41.99999999999999,5463.736453989089,-1876.7225980883445,5777.067054208798
0.0,-41.99999999999999,5463.736453989089,1876.7225980883443,5777.067054208798
482.9797921254974,-83.99999999999999,4001.4055487408896,-3918.1276490079695,5600.265229381113
-482.9797921254974,83.99999999999999,4001.4055487408896,3918.1276490079695,5600.265229381113
-241.4898960627487,77.99999999999999,-4697.608815626197,2776.6633085939193,5456.866107386243
241.4898960627487,-77.99999999999999,-4697.608815626196,-2776.663308593918,5456.866107386242
-241.4898960627487,-29.999999999999993,-4551.24339003239,2756.0292656487704,5320.668539612859
241.4898960627487,29.999999999999993,-4551.24339003239,-2756.0292656487695,5320.668539612858
0.0,179.99999999999997,-1574.5740103778621,4985.170553525383,5227.925856579644
0.0,-179.99999999999997,-1574.5740103778624,-4985.170553525383,5227.925856579644
241.4898960627487,-5.999999999999998,1376.8807003969384,4944.474377492579,5132.6043421255645
-241.4898960627487,5.999999999999998,1376.8807003969378,-4944.474377492579,5132.604342125564
0.0,-143.99999999999997,2582.621965452998,4389.860578609146,5093.212357252241
0.0,143.99999999999997,2582.621965452998,-4389.860578609146,5093.212357252241
724.4696881882461,-41.99999999999999,-3999.9615691911667,-2327.029906943456,4627.608533877464
-724.4696881882461,41.99999999999999,-3999.961569191164,2327.029906943457,4627.608533877462
-965.9595842509948,125.99999999999997,1348.5078173436432,-3892.4433043791905,4119.416003664028
965.9595842509948,-125.99999999999997,1348.5078173436434,3892.4433043791905,4119.416003664028
-241.4898960627487,-41.99999999999999,3192.667801598237,867.8725529743754,3308.523909475097
241.4898960627487,41.99999999999999,3192.667801598236,-867.8725529743734,3308.523909475096
965.9595842509948,-41.99999999999999,-2407.3214148680377,-1619.5102615987269,2901.380685450606
-965.9595842509948,41.99999999999999,-2407.321414868037,1619.5102615987266,2901.3806854506056
965.9595842509948,-83.99999999999999,-2241.526018840185,1681.8933722702318,2802.356902470501
-965.9595842509948,83.99999999999999,-2241.5260188401844,-1681.8933722702318,2802.3569024705007
482.9797921254974,-77.99999999999999,2251.7198926747596,1539.7199754251042,2727.8159904565255
-482.9797921254974,77.99999999999999,2251.7198926747596,-1539.7199754251044,2727.8159904565255
0.0,-107.99999999999997,204.6702335324128,2703.362858551036,2711.0995277723464
0.0,107.99999999999997,204.6702335324138,-2703.362858551035,2711.0995277723455
482.9797921254974,29.999999999999993,2178.476282293343,1522.7954611195792,2657.9437407366277
-482.9797921254974,-29.999999999999993,2178.4762822933426,-1522.7954611195792,2657.943740736627
-482.9797921254974,5.999999999999998,-525.6421428138271,2515.9360179663518,2570.259463323167
482.9797921254974,-5.999999999999998,-525.6421428138271,-2515.9360179663518,2570.259463323167
241.4898960627487,137.99999999999997,-1252.1523013547553,-2048.378016571598,2400.7785996550797
-241.4898960627487,-137.99999999999997,-1252.152301354755,2048.3780165715975,2400.7785996550792
0.0,-251.99999999999994,1181.4010180777977,2048.0102764506496,2364.329600111356
0.0,251.99999999999994,1181.4010180777982,-2048.010276450649,2364.3296001113554
-482.9797921254974,-41.99999999999999,2276.773142203321,459.81896953578035,2322.7417906007827
482.9797921254974,41.99999999999999,2276.7731422033207,-459.81896953578075,2322.7417906007827
-724.4696881882461,-23.999999999999993,-2175.131200547197,-673.0271448315534,2276.8753319569346
724.4696881882461,23.999999999999993,-2175.131200547197,673.0271448315534,2276.8753319569346
-241.4898960627487,83.99999999999999,1496.9671839652012,1671.4839646823943,2243.829181122993
241.4898960627487,-83.99999999999999,1496.9671839652,-1671.4839646823941,2243.8291811229915
1207.4494803137436,-41.99999999999999,-1676.8510922042617,-1293.2595864075563,2117.6283770439204
-1207.4494803137436,41.99999999999999,-1676.8510922042622,1293.259586407555,2117.62837704392
-241.4898960627487,185.99999999999997,-2066.157368531626,179.7453360798529,2073.9611031502
241.4898960627487,-185.99999999999997,-2066.1573685316257,-179.7453360798527,2073.9611031501995
724.4696881882461,-119.99999999999997,1666.7857339921698,-1165.7528377076053,2033.9995972622883
-724.4696881882461,119.99999999999997,1666.7857339921698,1165.7528377076053,2033.9995972622883
-724.4696881882461,11.999999999999996,1796.8759766882329,543.6470945304513,1877.3160200112002
724.4696881882461,-11.999999999999996,1796.8759766882326,-543.6470945304509,1877.3160200112
