time,Fx_N,Fy_N,UMP_N,Torque_Nm
0.0,-1.2459360763095417e-07,-9.214529422154541e-08,1.5496555200970096e-07,-0.9620700111299842
8.627000000000001e-05,8.500456810741625e-08,-3.091861024898946e-08,9.045295494817891e-08,-0.9706321877542556
0.00017254000000000003,1.549250886060357e-08,6.573467554514066e-08,6.753566020866898e-08,-0.9799761038898895
0.00025881000000000005,-1.8361537878140136e-07,9.452221421029067e-08,2.0651647949801385e-07,-0.9840887109132807
0.00034508000000000005,1.0731473902446017e-08,-1.416660148533467e-07,1.4207189833513005e-07,-0.9732435027035063
0.00043135000000000005,-1.958436034611942e-09,-7.617273876436751e-08,7.61979107493522e-08,-0.9601339128159615
0.0005176200000000001,3.0334547482125646e-08,3.586292555746619e-08,4.69716318695199e-08,-0.9577026416889016
0.0006038900000000002,3.1269976658577256e-08,-2.5000867468782888e-08,4.003566927652906e-08,-0.96583212309973
0.0006901600000000002,-1.022250913903352e-08,2.5369728049704334e-08,2.7351833474441503e-08,-0.976177927132666
0.0007764300000000003,5.944173180366938e-08,3.6459951857182484e-08,6.973268651964747e-08,-0.9821321227538924
0.0008627000000000003,-1.287907760387229e-07,2.5499305567030826e-07,2.856720539932764e-07,-0.9755189972801808
0.0009489700000000004,2.1551684224098576e-07,-1.5121735483075095e-07,2.632758965259357e-07,-0.9631944389305578
0.0010352400000000004,-4.433542688349907e-08,9.746208959466779e-08,1.0707235397198075e-07,-0.962054133091556
0.0011215100000000005,5.953551162155135e-08,-1.1517265075735808e-07,1.2965036300186842e-07,-0.9706210302677688
0.0012077800000000005,-1.8778585349670408e-10,8.063242028335557e-08,8.063263895147215e-08,-0.9799637082990079
0.0012940500000000006,-1.4864447373099998e-07,1.8838233938739212e-07,2.399647585872403e-07,-0.9840763441867262
0.0013803200000000006,8.168275550039881e-08,-1.9678547355920368e-07,2.1306476750053722e-07,-0.973231910108009
0.0014665900000000007,-1.1914084283278956e-07,-7.67486765443296e-08,1.417212044198524e-07,-0.9601222350292938
0.0015528600000000007,7.349603000910436e-08,3.686779729405004e-08,8.222469765474564e-08,-0.9576911161808712
0.0016391300000000008,-1.8202641285882413e-08,-2.886872569590818e-08,3.412827966786636e-08,-0.9658202137174133
0.0017254000000000008,6.8468252924890005e-09,-2.030075420282352e-08,2.1424276832353617e-08,-0.9761659494847378
0.001811670000000001,6.932363244307316e-08,3.791650500018259e-08,7.90153615857776e-08,-0.9821199742302258
0.001897940000000001,-1.553105761903152e-07,3.79393404235398e-08,1.5987735495792063e-07,-0.9755070432940868
0.001984210000000001,9.734022735879369e-08,-1.9730308486706843e-08,9.931971070861143e-08,-0.9631824943530115
0.002070480000000001,-2.6394268161386727e-09,-5.714511282622898e-10,2.7005796247739436e-09,-0.9620420812165877
0.0021567500000000007,5.841590350767542e-08,-8.46254774579132e-08,1.0282941805532996e-07,-0.970608789075551
0.0022430200000000005,-2.548531902732018e-08,4.9730713526064206e-08,5.588063487233975e-08,-0.9799513617859681
0.0023292900000000004,-7.778607964764992e-08,-5.078610722296507e-08,9.289727054016734e-08,-0.9840641274317277
0.00241556,1.5479028168878682e-07,-9.331828343652744e-08,1.807438334462176e-07,-0.9732200612290599
0.00250183,-1.0821692047802156e-07,-1.3102588892815545e-07,1.699372985755622e-07,-0.960110663789857
0.0025881,6.035972336322053e-08,6.058151099871666e-08,8.551851074107955e-08,-0.9576793972574409
0.0026743699999999997,5.540405318132429e-09,6.1878090501698045e-09,8.305725250124364e-09,-0.9658082926705079
0.0027606399999999995,3.477645834144e-08,-1.198413574614189e-08,3.678344144252775e-08,-0.9761538474641774
0.0028469099999999994,3.7329696201396076e-09,3.0927382469959924e-08,3.1151854657918356e-08,-0.9821078048830771
0.002933179999999999,-9.116362865404747e-08,6.855241848912956e-08,1.1406244460856438e-07,-0.975495070582325
0.003019449999999999,2.5594269257714255e-07,-8.028319037457719e-08,2.682387976045939e-07,-0.9631705991806663
0.003105719999999999,-1.6550183586309792e-08,4.8777168079513856e-08,5.150845272960258e-08,-0.9620300901342181
0.0031919899999999987,6.646897202186257e-08,-7.88054356029565e-08,1.030942332151264e-07,-0.9705966331614877
0.0032782599999999986,2.333325318111516e-08,7.805079838176368e-08,8.146390508712889e-08,-0.9799390738737743
0.0033645299999999984,-1.982504595965751e-07,1.1544587150792817e-07,2.2941445895688072e-07,-0.9840519099137149
0.0034507999999999982,-1.0448574174826632e-07,-2.856638066901007e-07,3.0417278096727296e-07,-0.9732082411478952
0.003537069999999998,8.335177108124448e-08,7.748711406232623e-09,8.371117172060886e-08,-0.960099028938152
0.003623339999999998,-7.097543662475113e-09,-7.397319861341187e-10,7.135988330431222e-09,-0.9576676506629322
0.0037096099999999977,8.840218250638694e-09,-1.3642751595106387e-08,1.625651038214239e-08,-0.9657962746515831
0.0037958799999999976,4.4710081151909606e-08,3.6646908245659064e-08,5.780992337459112e-08,-0.9761416605898257
0.0038821499999999974,-8.046660268524048e-08,-4.0596305397793495e-08,9.012732193766366e-08,-0.9820955219533631
0.003968419999999998,4.2082838674210573e-08,1.4341803349063858e-07,1.4946470366344544e-07,-0.9754829804219356
0.004054689999999998,7.655114447684637e-08,-4.528784752521152e-08,8.894417830404536e-08,-0.9631586029105328
0.004140959999999998,1.7008318481935685e-08,6.393843134109368e-08,6.616196717104703e-08,-0.9620180055887376
