product,source_a,time_frequency_a_Hz,time_order_a_n,spatial_order_a_m,source_b,time_frequency_b_Hz,time_order_b_n,spatial_order_b_m,contribution_real,contribution_imag,contribution_abs,stress,target_time_frequency_Hz,target_time_order_n,target_spatial_order_m,target_coeff_real,target_coeff_imag,target_coeff_abs,pair_rank,abs_fraction_of_target
Br*Br/(2mu0),Br,0.0,0.0,20.999999999999996,Br,-241.4898960627487,-1.0,20.999999999999996,-9311.750333960394,-17451.949274166946,19780.779250325497,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,1,0.5152178147121077
Br*Br/(2mu0),Br,-241.4898960627487,-1.0,20.999999999999996,Br,0.0,0.0,20.999999999999996,-9311.750333960394,-17451.949274166946,19780.779250325497,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,2,0.5152178147121077
Br*Br/(2mu0),Br,241.4898960627487,1.0,-20.999999999999996,Br,-482.9797921254974,-2.0,62.999999999999986,2989.708347726531,6936.30715674264,7553.1922375340655,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,3,0.19673336168789815
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,62.999999999999986,Br,241.4898960627487,1.0,-20.999999999999996,2989.708347726531,6936.30715674264,7553.1922375340655,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,4,0.19673336168789815
Br*Br/(2mu0),Br,241.4898960627487,1.0,20.999999999999996,Br,-482.9797921254974,-2.0,20.999999999999996,-933.8345860213487,-1750.1617956739485,1983.712011630298,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,5,0.05166852906634118
Br*Br/(2mu0),Br,-482.9797921254974,-2.0,20.999999999999996,Br,241.4898960627487,1.0,20.999999999999996,-933.8345860213487,-1750.1617956739485,1983.712011630298,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,6,0.05166852906634118
-Btheta*Btheta/(2mu0),Btheta,0.0,0.0,20.999999999999996,Btheta,-241.4898960627487,-1.0,20.999999999999996,-312.2639359121132,-1489.5899290334205,1521.9681081905478,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,7,0.039641769054702514
-Btheta*Btheta/(2mu0),Btheta,-241.4898960627487,-1.0,20.999999999999996,Btheta,0.0,0.0,20.999999999999996,-312.2639359121132,-1489.5899290334205,1521.9681081905478,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,8,0.039641769054702514
-Btheta*Btheta/(2mu0),Btheta,241.4898960627487,1.0,-20.999999999999996,Btheta,-482.9797921254974,-2.0,62.999999999999986,-450.1244798887618,-932.3501073786979,1035.3206122376769,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,9,0.02696636045593198
-Btheta*Btheta/(2mu0),Btheta,-482.9797921254974,-2.0,62.999999999999986,Btheta,241.4898960627487,1.0,-20.999999999999996,-450.1244798887618,-932.3501073786979,1035.3206122376769,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,10,0.02696636045593198
Br*Br/(2mu0),Br,482.9797921254974,2.0,20.999999999999996,Br,-724.4696881882461,-3.0,20.999999999999996,-335.4026624784219,-628.6145115306992,712.4964211170424,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,11,0.018557956915275706
Br*Br/(2mu0),Br,-724.4696881882461,-3.0,20.999999999999996,Br,482.9797921254974,2.0,20.999999999999996,-335.4026624784219,-628.6145115306992,712.4964211170424,Fr,-241.4898960627487,-1.0,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173,12,0.018557956915275706
