time,calculated_Torque_Nm,reference_Torque_Stator_Nm,error_vs_reference_Torque_Stator_Nm_Nm,relative_error_vs_reference_Torque_Stator_Nm,reference_Torque_Rotor_Nm,error_vs_reference_Torque_Rotor_Nm_Nm,relative_error_vs_reference_Torque_Rotor_Nm
0.0,-0.9620700111299842,-0.9620714415138174,1.4303838331564123e-06,1.4867750682898416e-06,0.9620676142458414,-1.9241376253758258,-2.0000024913884507
8.627000000000001e-05,-0.9706321877542556,-0.9706336329403977,1.4451861420905487e-06,1.4889100202643515e-06,0.9706298773384482,-1.9412620650927037,-2.0000023803262823
0.00017254000000000003,-0.9799761038898895,-0.9799775673856971,1.4634958075410154e-06,1.4933972534138798e-06,0.9799733341422195,-1.9599494380321092,-2.000002826350038
0.00025881000000000005,-0.9840887109132807,-0.9840901883510673,1.4774377866677568e-06,1.5013235617594546e-06,0.9840854377969072,-1.9681741487101878,-2.000003326048987
0.00034508000000000005,-0.9732435027035063,-0.9732449714284189,1.4687249125788782e-06,1.509100951657885e-06,0.9732402204930712,-1.9464837231965775,-2.000003372456631
0.00043135000000000005,-0.9601339128159615,-0.9601353657361736,1.4529202121416063e-06,1.5132451777022035e-06,0.9601310047371906,-1.920264917553152,-2.000003028835395
0.0005176200000000001,-0.9577026416889016,-0.9577040924790545,1.4507901529015044e-06,1.5148626431636908e-06,0.9577003207905085,-1.9154029624794102,-2.0000024234077642
0.0006038900000000002,-0.96583212309973,-0.9658335870039769,1.4639042469344332e-06,1.5156899352356085e-06,0.9658298798171155,-1.9316620029168456,-2.000002322647768
0.0006901600000000002,-0.976177927132666,-0.9761794063403211,1.4792076550307343e-06,1.5153030738235474e-06,0.9761752349121452,-1.9523531620448114,-2.0000027579274957
0.0007764300000000003,-0.9821321227538924,-0.9821336097555076,1.4870016151746768e-06,1.5140522637697441e-06,0.9821289181154663,-1.9642610408693586,-2.0000032629508886
0.0008627000000000003,-0.9755189972801808,-0.9755204728416195,1.4755614387018667e-06,1.512588899752831e-06,0.9755156975839036,-1.9510346948640844,-2.0000033825147923
0.0009489700000000004,-0.9631944389305578,-0.9631958920399174,1.4531093596170663e-06,1.5086332610281165e-06,0.9631915628307127,-1.9263860017612706,-2.0000029860102146
0.0010352400000000004,-0.962054133091556,-0.9620555767154747,1.443623918739867e-06,1.5005618736378e-06,0.9620517714620069,-1.924105904553563,-2.0000024547842634
0.0011215100000000005,-0.9706210302677688,-0.9706224789252809,1.4486575120598033e-06,1.4925035670550567e-06,0.9706187435480176,-1.9412397738157865,-2.000002355940236
0.0012077800000000005,-0.9799637082990079,-0.9799651668512039,1.458552196020868e-06,1.4883714700874994e-06,0.979960958203584,-1.9599246665025918,-2.0000028063316204
0.0012940500000000006,-0.9840763441867262,-0.9840778073523349,1.4631656086727673e-06,1.486839351259653e-06,0.9840730734289558,-1.968149417615682,-2.000003323694001
0.0013803200000000006,-0.973231910108009,-0.9732333560063235,1.4458983145226867e-06,1.485664569138845e-06,0.9732286154896572,-1.9464605255976664,-2.0000033852460763
0.0014665900000000007,-0.9601222350292938,-0.960123661395665,1.4263663711266972e-06,1.4856069363536856e-06,0.9601192862766516,-1.9202415213059454,-2.0000030712357146
0.0015528600000000007,-0.9576911161808712,-0.9576925402440795,1.424063208244064e-06,1.4869732700237224e-06,0.9576887446716925,-1.9153798608525636,-2.000002476283857
0.0016391300000000008,-0.9658202137174133,-0.965821651940475,1.4382230616449831e-06,1.489118678127981e-06,0.9658179056875349,-1.9316381194049481,-2.000002389715354
0.0017254000000000008,-0.9761659494847378,-0.9761674075276903,1.4580429524846394e-06,1.4936402723969046e-06,0.9761631920032363,-1.952329141487974,-2.0000028248161006
0.001811670000000001,-0.9821199742302258,-0.9821214489704273,1.4747402015125033e-06,1.5015863904189198e-06,0.9821167288143954,-1.9642367030446213,-2.0000033045113024
0.001897940000000001,-0.9755070432940868,-0.9755085156618601,1.472367773369676e-06,1.5093335934343006e-06,0.9755037366975561,-1.951010779991643,-2.0000033896297946
0.001984210000000001,-0.9631824943530115,-0.9631839520744149,1.4577214033639763e-06,1.5134402937512332e-06,0.9631796303494972,-1.9263621247025087,-2.0000029734884586
0.002070480000000001,-0.9620420812165877,-0.9620435387426383,1.4575260505189647e-06,1.5150312764679102e-06,0.9620397527476596,-1.9240818339642474,-2.0000024203458553
0.0021567500000000007,-0.970608789075551,-0.9706102603748166,1.4712992655319113e-06,1.515849693329788e-06,0.9706065553577652,-1.9412153444333162,-2.000002301362765
0.0022430200000000005,-0.9799513617859681,-0.9799528468578016,1.485071833506879e-06,1.5154523386188743e-06,0.9799486607674727,-1.9599000225534406,-2.000002756285715
0.0023292900000000004,-0.9840641274317277,-0.9840656174687386,1.4900370108872352e-06,1.5141642838004857e-06,0.9840608862096899,-1.9681250136414175,-2.000003293721032
0.00241556,-0.9732200612290599,-0.9732215334088928,1.4721798329286884e-06,1.512687278683713e-06,0.9732167896686093,-1.946436850897669,-2.0000033615947497
0.00250183,-0.960110663789857,-0.9601121123032775,1.448513420543307e-06,1.508691955847084e-06,0.9601077652526356,-1.9202184290424926,-2.0000030189707094
0.0025881,-0.9576793972574409,-0.95768083432001,1.437062569165093e-06,1.5005652380894331e-06,0.9576770594398752,-1.915356456697316,-2.000002441133514
0.0026743699999999997,-0.9658082926705079,-0.9658097340623256,1.4413918176803264e-06,1.4924179854945535e-06,0.9658060160058869,-1.9316143086763948,-2.000002357269041
0.0027606399999999995,-0.9761538474641774,-0.9761553001786168,1.4527144394094194e-06,1.4882001246559864e-06,0.976151114031932,-1.9523049614961094,-2.0000028002142356
0.0028469099999999994,-0.9821078048830771,-0.9821092648855156,1.4600024385025279e-06,1.4865987835607276e-06,0.982104561508548,-1.964212366391625,-2.000003302473745
