step_frequency_Hz_or_order,spatial_order_m,complex_real,complex_imag,coefficient_abs
241.4898960627487,-41.99999999999999,-18249.75100590592,33778.28103719023,38393.04209886173
-241.4898960627487,41.99999999999999,-18249.75100590592,-33778.28103719023,38393.04209886173
0.0,35.99999999999999,24626.434578157685,4551.939541013076,25043.59066941717
0.0,-35.99999999999999,24626.434578157685,-4551.939541013076,25043.59066941717
-482.9797921254974,41.99999999999999,10213.01924118897,16257.17991964782,19199.00156155774
482.9797921254974,-41.99999999999999,10213.019241188966,-16257.179919647824,19199.00156155774
724.4696881882461,-83.99999999999999,-9735.952973170937,-13121.23365030338,16338.774519579178
-724.4696881882461,83.99999999999999,-9735.952973170937,13121.23365030338,16338.774519579178
0.0,71.99999999999999,-11486.563047107851,-782.6003742452616,11513.192171633047
0.0,-71.99999999999999,-11486.563047107851,782.6003742452616,11513.192171633047
0.0,-41.99999999999999,-4004.8915041140353,8737.03846606001,9611.191243396264
0.0,41.99999999999999,-4004.8915041140344,-8737.038466060008,9611.191243396263
-482.9797921254974,83.99999999999999,5287.021696604349,-6229.989641688174,8171.00785435353
482.9797921254974,-83.99999999999999,5287.021696604349,6229.989641688173,8171.007854353529
724.4696881882461,-41.99999999999999,4509.616039927049,-6231.14636145379,7691.8022469006655
-724.4696881882461,41.99999999999999,4509.61603992705,6231.146361453787,7691.802246900664
-241.4898960627487,77.99999999999999,-2891.230198881602,-4991.247413243577,5768.168063010617
241.4898960627487,-77.99999999999999,-2891.230198881601,4991.247413243577,5768.168063010617
241.4898960627487,41.99999999999999,-1962.3752950918995,-5146.739920012082,5508.161998619231
-241.4898960627487,-41.99999999999999,-1962.3752950919024,5146.739920012082,5508.161998619231
0.0,-179.99999999999997,-5158.90942430074,1668.5377734953302,5422.0258898053735
0.0,179.99999999999997,-5158.9094243007385,-1668.53777349533,5422.025889805371
-241.4898960627487,-29.999999999999993,2687.996001904763,4651.7326349861405,5372.51700915419
241.4898960627487,29.999999999999993,2687.996001904761,-4651.7326349861405,5372.5170091541895
-241.4898960627487,5.999999999999998,-5055.804771142945,-1590.468034941604,5300.070797082128
241.4898960627487,-5.999999999999998,-5055.804771142944,1590.4680349416046,5300.070797082127
0.0,-143.99999999999997,4392.627212422326,-2617.5238974221525,5113.375126165612
0.0,143.99999999999997,4392.627212422326,2617.5238974221525,5113.375126165612
965.9595842509948,-125.99999999999997,-4845.918610511324,1284.2029896442577,5013.193044189627
-965.9595842509948,125.99999999999997,-4845.918610511324,-1284.2029896442577,5013.193044189627
965.9595842509948,-41.99999999999999,3076.957253139893,-3712.6821578507543,4821.999040115368
-965.9595842509948,41.99999999999999,3076.9572531398912,3712.6821578507524,4821.9990401153655
-965.9595842509948,83.99999999999999,-2217.377887071345,3436.363227220582,4089.664646822137
965.9595842509948,-83.99999999999999,-2217.377887071345,-3436.3632272205814,4089.6646468221365
-482.9797921254974,-41.99999999999999,-1141.2349003462057,3703.5380880257962,3875.3853314510525
482.9797921254974,41.99999999999999,-1141.234900346206,-3703.5380880257944,3875.3853314510507
1207.4494803137436,-41.99999999999999,2420.6757597691835,-2559.616341512221,3522.9684854779102
-1207.4494803137436,41.99999999999999,2420.675759769181,2559.6163415122223,3522.9684854779093
-241.4898960627487,83.99999999999999,2276.9163801551254,-2352.4955834840625,3273.924811679514
241.4898960627487,-83.99999999999999,2276.916380155126,2352.495583484061,3273.924811679513
-724.4696881882461,-41.99999999999999,-685.136635399793,2903.762359229947,2983.495944030696
724.4696881882461,41.99999999999999,-685.1366353997937,-2903.762359229945,2983.4959440306943
482.9797921254974,-77.99999999999999,1605.6816837952292,-2396.2219024573565,2884.457154386564
-482.9797921254974,77.99999999999999,1605.6816837952297,2396.221902457356,2884.457154386564
0.0,-107.99999999999997,2846.672913980141,-260.2579850940574,2858.54524155092
0.0,107.99999999999997,2846.6729139801405,260.25798509405774,2858.5452415509194
1448.9393763764922,-41.99999999999999,2042.0739106334358,-1891.8915883510347,2783.759982211673
-1448.9393763764922,41.99999999999999,2042.0739106334354,1891.8915883510351,2783.759982211673
482.9797921254974,29.999999999999993,-1493.9751387637216,2234.974755829766,2688.3217579821808
-482.9797921254974,-29.999999999999993,-1493.975138763722,-2234.974755829765,2688.3217579821803
482.9797921254974,-5.999999999999998,2575.095589706633,-625.066692155053,2649.872764071553
-482.9797921254974,5.999999999999998,2575.095589706633,625.0666921550526,2649.872764071553
0.0,-251.99999999999994,2121.010458184552,-1243.3715615627516,2458.588660966132
0.0,251.99999999999994,2121.010458184552,1243.3715615627505,2458.5886609661316
-965.9595842509948,-41.99999999999999,-405.68104380149714,2413.446010334619,2447.304385257372
965.9595842509948,41.99999999999999,-405.6810438014976,-2413.446010334619,2447.304385257372
724.4696881882461,23.999999999999993,-687.7403867064951,-2340.7033832538827,2439.6473449831583
-724.4696881882461,-23.999999999999993,-687.7403867064951,2340.7033832538823,2439.647344983158
-241.4898960627487,-137.99999999999997,2076.767213236677,1265.5880064012863,2432.0104974941237
241.4898960627487,137.99999999999997,2076.767213236676,-1265.5880064012863,2432.010497494123
